Force Area,Average Crime Rate,Jurisdictions,Mar 2011 General fund,Mar 2011 Earmarked reserves,Mar 2011 Total resource reserves,Mar 2011 Capital reserves,Mar 2012 General fund,Mar 2012 Earmarked reserves,Mar 2012 Total resource reserves,Mar 2012 Capital reserves,Mar 2013 General fund,Mar 2013 Earmarked reserves,Mar 2013 Total resource reserves,Mar 2013 Capital reserves,Mar 2014 General fund,Mar 2014 Earmarked reserves,Mar 2014 Total resource reserves,Mar 2014 Capital reserves,Mar 2015 General fund,Mar 2015 Earmarked reserves,Mar 2015 Total resource reserves,Mar 2015 Capital reserves,Mar 2016 General fund,Mar 2016 Earmarked reserves,Mar 2016 Total resource reserves,Mar 2016 Capital reserves,Mar 2017 General fund,Mar 2017 Earmarked reserves,Mar 2017 Total resource reserves,Mar 2017 Capital reserves,Mar 2018 General fund,Mar 2018 Earmarked reserves,Mar 2018 Total resource reserves,Mar 2018 Capital reserves,Mar 2011 Wealth,Mar 2012 Wealth,Mar 2013 Wealth,Mar 2014 Wealth,Mar 2015 Wealth,Mar 2016 Wealth,Mar 2017 Wealth,Mar 2018 Wealth,Average Wealth,Max Wealth,Scaled Wealth
Avon and Somerset Constabulary,83.24,"['Bath & North East Somerset', 'South Gloucestershire', 'Somerset', 'North Somerset', 'Bristol']",6700000.0,25600000.0,32200000.000000004,2100000.0,7500000.0,29600000.0,37100000.0,2400000.0,13600000.0,28700000.0,42200000.0,1900000.0,14400000.0,31300000.0,45700000.0,4099999.9999999995,14400000.0,28800000.0,43200000.0,17000000.0,10400000.0,29300000.0,39700000.0,11600000.0,10400000.0,26700000.0,37100000.0,7100000.0,10400000.0,25300000.0,35700000.0,300000.0,34300000.0,39500000.0,44100000.0,49800000.0,60200000.0,51300000.0,44200000.0,36000000.0,44925000.0,60200000.0,44.925
Bedfordshire Police,73.8,"['Central Bedfordshire', 'Bedford', 'Luton']",2900000.0,6500000.0,9400000.0,400000.0,2900000.0,6600000.0,9500000.0,400000.0,3400000.0,9600000.0,13000000.0,200000.0,4300000.0,13700000.0,18000000.0,0.0,3000000.0,14500000.0,17500000.0,300000.0,3000000.0,10700000.0,13700000.0,0.0,3000000.0,10200000.0,13200000.0,600000.0,3000000.0,6500000.0,9500000.0,0.0,9800000.0,9900000.0,13200000.0,18000000.0,17800000.0,13700000.0,13800000.0,9500000.0,13212500.0,18000000.0,13.2125
Cambridgeshire Constabulary,84.51,"['East Cambridgeshire', 'South Cambridgeshire', 'Huntingdonshire', 'Fenland', 'Peterborough', 'Cambridge']",4800000.0,13300000.0,18100000.0,18200000.0,7000000.0,19100000.0,26100000.0,26300000.0,9200000.0,12300000.0,21500000.0,22600000.0,9200000.0,16500000.0,25700000.0,26800000.0,7200000.0,19800000.0,27000000.0,700000.0,7200000.0,19400000.0,26600000.0,1700000.0,7200000.0,21300000.0,28500000.0,1200000.0,7200000.0,15300000.0,22500000.0,1900000.0,36300000.0,52400000.0,44100000.0,52500000.0,27700000.0,28300000.0,29700000.0,24400000.0,36925000.0,52500000.0,36.925
Cheshire Constabulary,78.23,"['Cheshire East', 'Cheshire West', 'Warrington', 'Halton']",7800000.0,10300000.0,18200000.0,2400000.0,5200000.0,10400000.0,15600000.0,4400000.0,5300000.0,8400000.0,13700000.0,6700000.0,5900000.0,17700000.0,23600000.0,7600000.0,5900000.0,22400000.0,28300000.0,8199999.999999999,5800000.0,15100000.0,20900000.0,7100000.0,5800000.0,8500000.0,14300000.0,5800000.0,6300000.0,5000000.0,11300000.0,5100000.0,20600000.0,20000000.0,20400000.0,31200000.0,36500000.0,28000000.0,20100000.0,16400000.0,24150000.0,36500000.0,24.15
Cleveland Police,144.57,"['Stockton-on-Tees', 'Redcar & Cleveland', 'Hartlepool', 'Middlesbrough']",7100000.0,6000000.0,13100000.0,300000.0,8199999.999999999,6000000.0,14200000.0,300000.0,7400000.0,3400000.0,10800000.0,300000.0,7000000.0,7200000.0,14200000.0,300000.0,8800000.0,5800000.0,14700000.0,100000.0,8600000.0,6600000.0,15200000.0,400000.0,8000000.0,6400000.0,14400000.0,700000.0,6100000.0,7200000.0,13300000.0,1000000.0,13400000.0,14500000.0,11100000.0,14500000.0,14800000.0,15600000.0,15100000.0,14300000.0,14162500.0,15600000.0,14.1625
Cumbria Constabulary,74.1,"['South Lakeland', 'Eden', 'Copeland', 'Allerdale', 'Barrow-in-Furness', 'Carlisle']",5100000.0,16800000.0,22000000.0,3300000.0,5100000.0,18900000.0,24100000.0,3300000.0,5100000.0,21600000.0,26700000.0,5000000.0,5100000.0,27700000.0,32900000.0,4900000.0,5100000.0,22400000.0,27500000.0,4700000.0,3000000.0,20900000.0,23900000.0,6000000.0,3000000.0,21300000.0,24300000.0,6300000.0,3000000.0,19900000.0,22900000.0,7200000.0,25300000.0,27400000.0,31700000.0,37800000.0,32200000.0,29900000.0,30600000.0,30100000.0,30625000.0,37800000.0,30.625
Derbyshire Constabulary,85.62,"['Derbyshire Dales', 'North East Derbyshire', 'South Derbyshire', 'High Peak', 'Amber Valley', 'Bolsover', 'Erewash', 'Chesterfield', 'Derby']",3300000.0,31700000.0,35000000.0,6200000.0,3300000.0,36900000.0,40200000.0,6500000.0,3300000.0,39800000.0,43100000.0,7300000.0,3300000.0,39700000.0,43000000.0,8700000.0,3300000.0,39300000.0,42600000.0,9800000.0,4000000.0,35500000.0,39500000.0,9300000.0,4000000.0,28200000.0,32200000.000000004,4800000.0,4000000.0,20800000.0,24800000.0,4800000.0,41200000.0,46700000.0,50400000.0,51700000.0,52400000.0,48800000.0,37000000.0,29600000.0,44725000.0,52400000.0,44.725
Devon & Cornwall Police,58.6,"['Isles of Scilly', 'South Devon & Dartmoor', 'East & Mid Devon', 'Northern Devon', 'Cornwall', 'Exeter', 'Torbay', 'Plymouth']",6200000.0,22300000.0,28500000.0,6200000.0,6200000.0,32100000.0,38300000.0,6600000.0,6200000.0,43800000.0,50000000.0,6900000.0,6200000.0,55200000.0,61400000.0,4800000.0,6200000.0,59100000.0,65300000.0,4800000.0,6200000.0,57500000.0,63700000.0,4700000.0,11900000.0,46900000.0,58800000.0,6100000.0,11700000.0,38400000.0,50000000.0,3800000.0,34700000.0,44900000.0,56900000.0,66200000.0,70100000.0,68400000.0,64900000.0,53800000.0,57487500.0,70100000.0,57.4875
Dorset Police,66.92,"['Dorset County', 'Poole', 'Bournemouth']",3300000.0,14400000.0,17700000.0,0.0,4000000.0,14000000.0,18000000.0,300000.0,4600000.0,5100000.0,9800000.0,600000.0,4500000.0,8000000.0,12500000.0,2200000.0,3800000.0,8600000.0,12500000.0,4800000.0,7300000.0,5700000.0,13000000.0,3900000.0,7400000.0,5700000.0,13100000.0,3900000.0,5000000.0,3800000.0,8800000.0,1200000.0,17700000.0,18300000.0,10400000.0,14700000.0,17300000.0,16900000.0,17000000.0,10000000.0,15287500.0,18300000.0,15.2875
Durham Constabulary,106.92,"['County Durham', 'Darlington']",6100000.0,9500000.0,15600000.0,0.0,6100000.0,11300000.0,17300000.0,0.0,5900000.0,12900000.0,18800000.0,0.0,5900000.0,15000000.0,20900000.0,200000.0,5700000.0,11200000.0,16800000.0,1300000.0,5700000.0,7100000.0,12700000.0,800000.0,5700000.0,7300000.0,13000000.0,5300000.0,5700000.0,3100000.0,8700000.0,9400000.0,15600000.0,17300000.0,18800000.0,21100000.0,18100000.0,13500000.0,18300000.0,18100000.0,17600000.0,21100000.0,17.6
Dyfed-Powys Police,78.9,"['Powys', 'Carmarthenshire', 'Ceredigion', 'Pembrokeshire']",2800000.0,23900000.0,26700000.0,1400000.0,4500000.0,26500000.0,31000000.0,1300000.0,4500000.0,31500000.0,36000000.0,1300000.0,4500000.0,37600000.0,42100000.0,1000000.0,4500000.0,40400000.0,44900000.0,600000.0,4500000.0,27900000.0,32400000.0,500000.0,4500000.0,21900000.0,26400000.0,900000.0,4000000.0,15700000.0,19700000.0,800000.0,28100000.0,32300000.0,37300000.0,43100000.0,45500000.0,32900000.0,27300000.0,20500000.0,33375000.0,45500000.0,33.375
Essex Police,86.32,"['Rochford', 'Maldon', 'Uttlesford', 'Castle Point', 'Braintree', 'Brentwood', 'Epping Forest', 'Tendring', 'Chelmsford', 'Colchester', 'Thurrock', 'Basildon', 'Southend-on-Sea', 'Harlow']",27400000.0,4700000.0,32100000.0,15400000.0,23000000.0,3700000.0,26700000.0,16600000.000000002,19100000.0,2600000.0,21700000.0,14500000.0,18000000.0,7400000.0,25500000.0,12100000.0,15200000.0,5500000.0,20700000.0,10300000.0,13200000.0,3500000.0,16700000.0,4099999.9999999995,13200000.0,9100000.0,22200000.0,0.0,12200000.0,7800000.0,20000000.0,1900000.0,47500000.0,43300000.0,36200000.0,37600000.0,31000000.0,20800000.0,22200000.0,21900000.0,32562500.0,47500000.0,32.5625
Gloucestershire Constabulary,85.25,"['Cotswold', 'Forest of Dean', 'Tewkesbury', 'Stroud', 'Cheltenham', 'Gloucester']",3200000.0,18700000.0,21900000.0,1800000.0,3200000.0,22400000.0,25600000.0,3600000.0,3200000.0,27400000.0,30600000.0,4500000.0,5100000.0,27700000.0,32799999.999999996,1000000.0,6100000.0,24200000.0,30300000.0,2200000.0,5300000.0,23500000.0,28800000.0,1400000.0,5400000.0,20900000.0,26300000.0,4400000.0,5600000.0,16100000.000000002,21700000.0,3500000.0,23700000.0,29200000.0,35100000.0,33800000.0,32500000.0,30200000.0,30700000.0,25200000.0,30050000.0,35100000.0,30.05
Greater Manchester Police,128.42,"['Trafford', 'Stockport', 'Bury', 'Wigan', 'Tameside', 'Bolton', 'Oldham', 'Rochdale', 'Salford', 'Manchester']",32600000.0,17700000.0,50300000.0,2100000.0,38300000.0,15600000.0,53900000.0,1300000.0,38500000.0,16300000.0,54800000.0,2000000.0,12500000.0,54600000.0,67099999.99999999,2900000.0,12500000.0,59300000.0,71800000.0,6500000.0,13100000.0,54300000.0,67500000.0,3100000.0,13200000.0,66500000.0,79800000.0,0.0,13900000.0,61700000.0,75600000.0,26700000.0,52400000.0,55200000.0,56800000.0,70000000.0,78300000.0,70600000.0,79800000.0,102300000.0,70675000.0,102300000.0,70.675
Gwent Police,99.22,"['Monmouthshire', 'Caerphilly', 'Torfaen', 'Blaenau Gwent', 'Newport']",5500000.0,34700000.0,40100000.0,0.0,8900000.0,31100000.0,40000000.0,0.0,8500000.0,30800000.0,39300000.0,1000000.0,10800000.0,30200000.0,41000000.0,1000000.0,4000000.0,40900000.0,44900000.0,2000000.0,9100000.0,38900000.0,48000000.0,1600000.0,10900000.0,40300000.0,51200000.0,1600000.0,14700000.0,41300000.0,56000000.0,1700000.0,40100000.0,40000000.0,40300000.0,42000000.0,46900000.0,49600000.0,52800000.0,57700000.0,46175000.0,57700000.0,46.175
Hampshire Constabulary,85.8,"['Fareham', 'East Hampshire', 'New Forest', 'Test Valley', 'Winchester', 'Eastleigh', 'North Hampshire', 'Isle of Wight', 'Havant', 'Gosport', 'Portsmouth', 'Southampton']",29500000.0,7800000.0,37300000.0,0.0,12000000.0,38100000.0,50100000.0,0.0,14300000.0,47600000.0,61900000.0,0.0,16000000.0,57500000.0,73400000.0,1100000.0,18700000.0,65599999.99999999,84300000.0,0.0,17500000.0,69500000.0,87000000.0,0.0,10000000.0,75700000.0,85700000.0,0.0,10900000.0,65000000.0,75900000.0,0.0,37300000.0,50100000.0,61900000.0,74500000.0,84300000.0,87000000.0,85700000.0,75900000.0,69587500.0,87000000.0,69.5875
Hertfordshire Constabulary,64.13,"['North Hertfordshire', 'Three Rivers', 'East Hertfordshire', 'St Albans', 'Dacorum', 'Broxbourne', 'Welwyn & Hatfield', 'Hertsmere', 'Stevenage', 'Watford']",6100000.0,13300000.0,19400000.0,0.0,6800000.0,18100000.0,24900000.0,3100000.0,6800000.0,21200000.0,28000000.0,20300000.0,4900000.0,31700000.0,36700000.0,16800000.0,5500000.0,42500000.0,47900000.0,16600000.000000002,5300000.0,42500000.0,47800000.0,14500000.0,6000000.0,36700000.0,42700000.0,11300000.0,6000000.0,28000000.0,34000000.0,7100000.0,19400000.0,28000000.0,48300000.0,53500000.0,64500000.0,62300000.0,54000000.0,41100000.0,46387500.0,64500000.0,46.3875
Humberside Police,110.84,"['East Riding of Yorkshire', 'North Lincolnshire', 'North East Lincolnshire', 'Kingston upon Hull']",5400000.0,28400000.0,33900000.0,0.0,5200000.0,29300000.0,34500000.0,0.0,5400000.0,27600000.0,33000000.0,100000.0,5400000.0,31600000.0,37000000.0,0.0,5200000.0,28200000.0,33299999.999999996,0.0,5200000.0,28200000.0,33400000.0,0.0,5200000.0,29100000.0,34300000.0,500000.0,5200000.0,23700000.0,28900000.0,0.0,33900000.0,34500000.0,33100000.0,37000000.0,33299999.999999996,33400000.0,34800000.0,28900000.0,33612500.0,37000000.0,33.6125
Kent Police,92.93,"['Sevenoaks', 'Tunbridge Wells', 'Tonbridge & Malling', 'Shepway', 'Ashford', 'Maidstone', 'Canterbury', 'Dover', 'Swale', 'Dartford & Gravesham', 'Medway', 'Thanet']",6000000.0,14600000.0,20600000.0,13500000.0,6000000.0,16900000.0,22900000.0,18400000.0,5600000.0,24300000.0,30000000.0,23600000.0,5600000.0,25500000.0,31200000.0,30300000.0,5600000.0,28700000.0,34400000.0,25800000.0,5600000.0,25300000.0,30900000.0,31600000.0,5600000.0,27200000.0,32799999.999999996,28700000.0,8800000.0,19300000.0,28100000.0,0.0,34100000.0,41300000.0,53600000.0,61500000.0,60200000.0,62500000.0,61500000.0,28100000.0,50350000.0,62500000.0,50.35
Leicestershire Police,94.96,"['Rutland', 'Harborough', 'Oadby & Wigston', 'Hinckley & Bosworth', 'Melton', 'Blaby', 'Charnwood', 'North West Leicestershire', 'Leicester']",5300000.0,18500000.0,23800000.0,0.0,5300000.0,23200000.0,28500000.0,0.0,5300000.0,22900000.0,28200000.0,0.0,6000000.0,21600000.0,27600000.0,0.0,6000000.0,22700000.0,28700000.0,200000.0,6000000.0,22300000.0,28300000.0,0.0,6000000.0,23800000.0,29800000.0,600000.0,6000000.0,21600000.0,27600000.0,500000.0,23800000.0,28500000.0,28200000.0,27600000.0,28900000.0,28300000.0,30400000.0,28100000.0,27975000.0,30400000.0,27.975
Lincolnshire Police,75.72,"['North Kesteven', 'South Kesteven', 'South Holland', 'West Lindsey', 'East Lindsey', 'Boston', 'Lincoln']",5100000.0,5500000.0,10600000.0,0.0,5700000.0,5800000.0,11400000.0,500000.0,5700000.0,8199999.999999999,13900000.0,200000.0,5700000.0,9100000.0,14800000.0,800000.0,5900000.0,11100000.0,17000000.0,400000.0,5700000.0,12800000.0,18500000.0,500000.0,5700000.0,13100000.0,18700000.0,900000.0,5700000.0,11000000.0,16600000.000000002,600000.0,10600000.0,11900000.0,14100000.0,15600000.0,17400000.0,19000000.0,19600000.0,17200000.0,15675000.0,19600000.0,15.675
Merseyside Police,111.7,"['Wirral', 'Sefton', 'Knowsley', 'St Helens', 'Liverpool']",9300000.0,20900000.0,30200000.0,2100000.0,9200000.0,28800000.0,38000000.0,600000.0,9500000.0,31100000.0,40500000.0,0.0,9600000.0,38600000.0,48200000.0,0.0,10500000.0,31200000.0,41600000.0,0.0,12200000.0,24300000.0,36500000.0,0.0,12200000.0,17100000.0,29300000.0,0.0,12200000.0,18800000.0,31000000.0,0.0,32300000.0,38600000.0,40500000.0,48200000.0,41600000.0,36500000.0,29300000.0,31000000.0,37250000.0,48200000.0,37.25
Norfolk Constabulary,69.21,"['Broadland', 'North Norfolk', 'South Norfolk', 'Breckland', ""King's Lynn & West Norfolk"", 'Great Yarmouth', 'Norwich']",4500000.0,17500000.0,21900000.0,4800000.0,4500000.0,25700000.0,30200000.0,3500000.0,4500000.0,30100000.0,34600000.0,1600000.0,4500000.0,32400000.0,36800000.0,100000.0,4500000.0,32700000.000000004,37200000.0,100000.0,4500000.0,24500000.0,29000000.0,0.0,4500000.0,20800000.0,25300000.0,500000.0,4500000.0,13900000.0,18300000.0,400000.0,26700000.0,33700000.0,36200000.0,36900000.0,37300000.0,29000000.0,25800000.0,18700000.0,30537500.0,37300000.0,30.5375
North Wales Police,84.07,"['Isle of Anglesey', 'Gwynedd', 'Flintshire', 'Conwy', 'Wrexham', 'Denbighshire']",7200000.0,21000000.0,28200000.0,5100000.0,7200000.0,29000000.0,36200000.0,3800000.0,7200000.0,31000000.0,38200000.0,4099999.9999999995,7200000.0,30900000.0,38100000.0,3200000.0,4200000.0,32200000.000000004,36400000.0,4600000.0,4200000.0,31500000.0,35700000.0,3500000.0,5200000.0,29300000.0,34400000.0,3700000.0,5200000.0,19200000.0,24400000.0,1500000.0,33300000.0,40000000.0,42300000.0,41300000.0,41000000.0,39200000.0,38100000.0,25900000.0,37637500.0,42300000.0,37.6375
North Yorkshire Police,59.65,"['North Yorkshire', 'York']",8700000.0,19400000.0,28100000.0,0.0,8800000.0,20100000.0,28900000.0,0.0,9500000.0,25100000.0,34600000.0,0.0,9700000.0,33900000.0,43600000.0,0.0,9700000.0,22700000.0,32400000.0,0.0,9700000.0,17800000.0,27500000.0,1200000.0,9700000.0,6500000.0,16200000.0,1500000.0,6800000.0,4099999.9999999995,10900000.0,2400000.0,28100000.0,28900000.0,34600000.0,43600000.0,32400000.0,28700000.0,17700000.0,13300000.0,28412500.0,43600000.0,28.4125
Northamptonshire Police,83.08,"['Daventry & South Northamptonshire', 'East Northamptonshire', 'Kettering', 'Wellingborough', 'Corby', 'Northampton']",8700000.0,5200000.0,13900000.0,8900000.0,3500000.0,7100000.0,10700000.0,11000000.0,4099999.9999999995,11100000.0,15300000.0,6900000.0,4099999.9999999995,14100000.0,18200000.0,3400000.0,6000000.0,14900000.0,20900000.0,100000.0,4400000.0,12400000.0,16800000.0,0.0,3500000.0,6800000.0,10300000.0,0.0,3800000.0,7900000.0,11700000.0,0.0,22800000.0,21700000.0,22200000.0,21600000.0,21000000.0,16800000.0,10300000.0,11700000.0,18512500.0,22800000.0,18.5125
Northumbria Police,100.73,"['Northumberland', 'North Tyneside', 'Gateshead', 'South Tyneside', 'Sunderland', 'Newcastle upon Tyne']",30000000.0,25900000.0,55800000.0,400000.0,26600000.0,18600000.0,45200000.0,500000.0,21600000.0,13300000.0,34900000.0,200000.0,21800000.0,10900000.0,32700000.000000004,100000.0,21800000.0,5600000.0,27400000.0,100000.0,15400000.0,4500000.0,19900000.0,0.0,11900000.0,5100000.0,16900000.0,4000000.0,9400000.0,4000000.0,13500000.0,300000.0,56200000.0,45700000.0,35100000.0,32800000.000000004,27500000.0,19900000.0,20900000.0,13800000.0,31487500.0,56200000.0,31.4875
Nottinghamshire Police,91.75,"['South Nottinghamshire', 'Newark & Sherwood', 'Bassetlaw', 'Ashfield', 'Mansfield', 'Nottingham']",7100000.0,9200000.0,16300000.0,200000.0,7100000.0,13200000.0,20200000.0,1000000.0,7100000.0,18300000.0,25400000.0,2000000.0,7100000.0,19500000.0,26600000.0,1700000.0,7100000.0,16200000.0,23200000.0,1700000.0,7100000.0,8199999.999999999,15300000.0,900000.0,7100000.0,11800000.0,18900000.0,3300000.0,7100000.0,16900000.0,23900000.0,3900000.0,16500000.0,21200000.0,27400000.0,28300000.0,24900000.0,16200000.0,22200000.0,27800000.0,23062500.0,28300000.0,23.0625
South Wales Police,83.63,"['Vale of Glamorgan', 'Neath & Port Talbot', 'Bridgend', 'Rhondda Cynon Taff', 'Swansea', 'Merthyr Tydfil', 'Cardiff']",5700000.0,30900000.0,36700000.0,0.0,7300000.0,33400000.0,40700000.0,0.0,8199999.999999999,33600000.0,41900000.0,0.0,9000000.0,24900000.0,33900000.0,0.0,9000000.0,24200000.0,33299999.999999996,0.0,9200000.0,20000000.0,29200000.0,0.0,9400000.0,21600000.0,31100000.0,0.0,9700000.0,22200000.0,31900000.0,0.0,36700000.0,40700000.0,41900000.0,33900000.0,33299999.999999996,29200000.0,31100000.0,31900000.0,34837500.0,41900000.0,34.8375
South Yorkshire Police,113.65,"['Rotherham', 'Sheffield', 'Barnsley', 'Doncaster']",24600000.0,13400000.0,38000000.0,2600000.0,33500000.0,13300000.0,46800000.0,1600000.0,35800000.0,12300000.0,48100000.0,0.0,13800000.0,33800000.0,47600000.0,0.0,16399999.999999998,28400000.0,44800000.0,0.0,17600000.0,22700000.0,40300000.0,0.0,17600000.0,28800000.0,46400000.0,0.0,12300000.0,32500000.0,44800000.0,0.0,40600000.0,48400000.0,48100000.0,47600000.0,44800000.0,40300000.0,46400000.0,44800000.0,45125000.0,48400000.0,45.125
Staffordshire Police,80.51,"['Staffordshire Moorlands', 'South Staffordshire', 'Lichfield', 'Stafford', 'Newcastle under Lyme', 'East Staffordshire', 'Cannock Chase', 'Tamworth', 'Stoke on Trent']",5400000.0,8000000.0,13400000.0,0.0,5400000.0,9400000.0,14800000.0,0.0,5400000.0,9300000.0,14700000.0,0.0,6300000.0,13900000.0,20200000.0,0.0,6300000.0,16399999.999999998,22700000.0,0.0,6300000.0,10800000.0,17100000.0,0.0,5500000.0,7800000.0,13300000.0,300000.0,2900000.0,1000000.0,3900000.0,300000.0,13400000.0,14800000.0,14700000.0,20200000.0,22700000.0,17100000.0,13600000.0,4200000.0,15087500.0,22700000.0,15.0875
Suffolk Constabulary,63.21,"['Suffolk Coastal', 'Western Suffolk', 'Waveney', 'Ipswich']",4000000.0,10500000.0,14500000.0,0.0,5800000.0,11400000.0,17100000.0,100000.0,8199999.999999999,9500000.0,17700000.0,100000.0,5000000.0,12500000.0,17500000.0,100000.0,5000000.0,11200000.0,16200000.0,100000.0,5000000.0,7400000.0,12400000.0,0.0,5000000.0,5800000.0,10800000.0,300000.0,3500000.0,4300000.0,7800000.0,200000.0,14500000.0,17200000.0,17800000.0,17600000.0,16300000.0,12400000.0,11100000.0,8000000.0,14362500.0,17800000.0,14.3625
Surrey Police,62.25,"['Waverley', 'Tandridge', 'Surrey Heath', 'Mole Valley', 'Elmbridge', 'Reigate & Banstead', 'Woking', 'Epsom & Ewell', 'Guildford', 'Runnymede', 'Spelthorne']",7500000.0,5300000.0,12800000.0,300000.0,8900000.0,6500000.0,15400000.0,400000.0,9400000.0,8199999.999999999,17600000.0,2600000.0,11100000.0,8300000.000000001,19500000.0,11000000.0,12900000.0,10300000.0,23200000.0,12800000.0,11500000.0,7100000.0,18600000.0,13100000.0,8700000.0,6400000.0,15100000.0,12100000.0,6100000.0,6900000.0,13100000.0,10400000.0,13100000.0,15800000.0,20200000.0,30500000.0,36000000.0,31700000.0,27200000.0,23500000.0,24750000.0,36000000.0,24.75
Sussex Police,79.09,"['Wealden', 'Mid Sussex', 'Horsham', 'Lewes', 'Rother', 'Chichester', 'Arun', 'Adur', 'Worthing', 'Brighton & Hove', 'Eastbourne', 'Hastings', 'Crawley']",10200000.0,41500000.0,51700000.0,4800000.0,13900000.0,54400000.0,68300000.0,4900000.0,12200000.0,63500000.0,75700000.0,3400000.0,9800000.0,63500000.0,73400000.0,6000000.0,10800000.0,59900000.0,70700000.0,7900000.0,10800000.0,53500000.0,64300000.0,8900000.0,10800000.0,50500000.0,61300000.0,1900000.0,10800000.0,43500000.0,54300000.0,0.0,56500000.0,73200000.0,79100000.0,79400000.0,78600000.0,73200000.0,63200000.0,54300000.0,69687500.0,79400000.0,69.6875
Thames Valley Police,76.12,"['Chiltern', 'South Oxfordshire', 'Vale of White Horse', 'Wokingham', 'West Oxfordshire', 'West Berkshire', 'Aylesbury Vale', 'Bracknell Forest', 'Windsor & Maidenhead', 'South Buckinghamshire', 'Wycombe', 'Cherwell', 'Milton Keynes', 'Oxford', 'Slough', 'Reading']",18400000.0,22900000.0,41300000.0,20400000.0,14300000.0,33900000.0,48200000.0,23200000.0,15300000.0,30500000.0,45800000.0,17900000.0,16500000.0,32700000.000000004,49100000.0,9300000.0,17600000.0,33800000.0,51400000.0,11900000.0,18400000.0,32299999.999999996,50700000.0,7200000.0,18100000.0,34700000.0,52800000.0,15800000.0,18600000.0,26000000.0,44700000.0,19000000.0,61700000.0,71400000.0,63700000.0,58400000.0,63300000.0,57900000.0,68600000.0,63700000.0,63587500.0,71400000.0,63.5875
Warwickshire Police,71.41,"['Rugby', 'South Warwickshire', 'North Warwickshire', 'Nuneaton & Bedworth']",2000000.0,18400000.0,20400000.0,0.0,2000000.0,22000000.0,24000000.0,1000000.0,2000000.0,28300000.0,30300000.0,1000000.0,6000000.0,27200000.0,33200000.000000004,1800000.0,6000000.0,29500000.0,35500000.0,2800000.0,6800000.0,24400000.0,31200000.0,2000000.0,6800000.0,19200000.0,26000000.0,0.0,5000000.0,14200000.0,19200000.0,0.0,20400000.0,25000000.0,31300000.0,35000000.0,38300000.0,33200000.0,26000000.0,19200000.0,28550000.0,38300000.0,28.55
West Mercia Police,71.74,"['Shropshire', 'Herefordshire', 'South Worcestershire', 'North Worcestershire', 'Telford & Wrekin']",6200000.0,25900000.0,32100000.0,2700000.0,6200000.0,31600000.0,37800000.0,2800000.0,8900000.0,37200000.0,46100000.0,1900000.0,12000000.0,41100000.0,53100000.0,4400000.0,13500000.0,50400000.0,63900000.0,7900000.0,13500000.0,46600000.0,60100000.0,5600000.0,13500000.0,39600000.0,53100000.0,400000.0,10600000.0,25800000.0,36400000.0,100000.0,34800000.0,40600000.0,48000000.0,57500000.0,71800000.0,65700000.0,53500000.0,36500000.0,51050000.0,71800000.0,51.05
West Midlands Police,119.7,"['Dudley', 'Solihull', 'Walsall', 'Coventry', 'Sandwell', 'Wolverhampton', 'Birmingham']",8000000.0,71100000.0,79100000.0,39900000.0,12000000.0,90500000.0,102500000.0,37100000.0,12000000.0,113700000.0,125800000.0,40700000.0,12000000.0,114700000.0,126700000.0,38600000.0,12000000.0,141700000.0,153800000.0,25600000.0,12000000.0,116000000.0,128000000.0,14600000.0,12000000.0,94000000.0,106000000.0,15100000.0,12000000.0,73300000.0,85300000.0,14500000.0,119000000.0,139600000.0,166500000.0,165300000.0,179400000.0,142600000.0,121100000.0,99800000.0,141662500.0,179400000.0,141.6625
West Yorkshire Police,132.34,"['Kirklees', 'Calderdale', 'Wakefield', 'Bradford', 'Leeds']",23900000.0,6500000.0,30400000.0,1300000.0,30700000.0,11000000.0,41600000.0,1200000.0,40900000.0,16500000.0,57500000.0,1300000.0,20500000.0,61300000.0,81800000.0,5500000.0,26200000.0,68600000.0,94800000.0,7400000.0,34700000.0,65400000.00000001,100100000.0,8000000.0,29300000.0,61800000.0,91100000.0,8600000.0,15400000.0,57300000.0,72700000.0,11300000.0,31700000.0,42800000.0,58800000.0,87300000.0,102200000.0,108100000.0,99700000.0,84000000.0,76825000.0,108100000.0,76.825
Wiltshire Police,59.43,"['Wiltshire County', 'Swindon']",7700000.0,9000000.0,16700000.0,0.0,8900000.0,11700000.0,20700000.0,0.0,4300000.0,19300000.0,23600000.0,0.0,3200000.0,21500000.0,24700000.0,0.0,3100000.0,20700000.0,23800000.0,0.0,2600000.0,19600000.0,22200000.0,0.0,2600000.0,17100000.0,19700000.0,500000.0,2700000.0,15600000.0,18400000.0,500000.0,16700000.0,20700000.0,23600000.0,24700000.0,23800000.0,22200000.0,20200000.0,18900000.0,21350000.0,24700000.0,21.35
